User,Message Count
Vanessa Norman,1288
Amy Leon,1150
Travis Butler,1075
April Lucas,991
Brenda Hernandez,843
Cristian Wilson,831
Phillip Atkins,754
Brady Rhodes,641
Judith Bolton,574
Joshua Rhodes,519
Daniel Brown,503
Michelle Lewis,438
Yvonne Gonzalez,436
Brian Odom,407
Katherine Foster,406
Katie Dickerson,392
Mark Crawford,385
Robert Carter,379
Paula Bryant,377
Ashley Hamilton,366
Jennifer Foley,357
Nicholas Friedman,346
Miguel Herring,316
Michael Gonzalez,295
Nancy Craig,295
Kelly Soto,265
Anita Rodriguez,260
Debra Lawrence,260
Garrett Bell,193
Elizabeth Hall,191
Brittany Garcia,189
Willie Yang,184
Jodi Lyons,168
Carlos Gross,159
Cheryl Hudson,157
Anthony Galloway,156
Joseph Diaz,152
Samuel King,142
Veronica Padilla,131
Luis Ingram,128
Gary Thomas,95
John Romero,87
Mandy Sweeney,63
Eric Myers,61
Samantha Lee,60
Carol Kaiser,54
Allison Thompson,45
Dustin Wilson,42
Steven Garcia,33
Melissa Ingram,28
Vernon Garcia,22
Michele Sparks,21
Leah Newton,10
Patricia Thomas,8
Randy Miller,7
Patrick Hernandez,5
Slackbot,3
Christopher Case,1
Blake Scott,1
Erica Munoz,1
Holly Whitaker,1
David Scott,1
